class,order,family,genus,species,haploid
Actinopteri,Cypriniformes,Cyprinidae,garra,Garra_ornata,25
Actinopteri,Cypriniformes,Cyprinidae,garra,Garra_quadrimaculata,25
Actinopteri,Cypriniformes,Cyprinidae,garra,Garra_rufa,22-26
Actinopteri,Cypriniformes,Cyprinidae,garra,Garra_rufa,22-26
Actinopteri,Cypriniformes,Cyprinidae,garra,Garra_rufa,22
Actinopteri,Cypriniformes,Cyprinidae,garra,Garra_surendranathanii,25
Actinopteri,Cypriniformes,Cyprinidae,gila,Gila_bicolor,25
Actinopteri,Cypriniformes,Cyprinidae,gila,Gila_elegans,25
Actinopteri,Cypriniformes,Cyprinidae,gila,Gila_nigrescens,25
Actinopteri,Cypriniformes,Cyprinidae,gila,Gila_orcutti,25
Actinopteri,Cypriniformes,Cyprinidae,gila,Gila_pandora,25
Actinopteri,Cypriniformes,Cyprinidae,gila,Gila_purpurea,25
Actinopteri,Cypriniformes,Cyprinidae,gnathopogon,Gnathopogon_caerulescens,25
Actinopteri,Cypriniformes,Cyprinidae,gnathopogon,Gnathopogon_caerulescens,25
Actinopteri,Cypriniformes,Cyprinidae,gnathopogon,Gnathopogon_caerulescens,25
Actinopteri,Cypriniformes,Cyprinidae,gnathopogon,Gnathopogon_elongatus,25
Actinopteri,Cypriniformes,Cyprinidae,gnathopogon,Gnathopogon_elongatus,25
Actinopteri,Cypriniformes,Cyprinidae,gnathopogon,Gnathopogon_elongatus,25
Actinopteri,Cypriniformes,Cyprinidae,gnathopogon,Gnathopogon_imberbis,25
Actinopteri,Cypriniformes,Cyprinidae,gnathopogon,Gnathopogon_strigatus,25
Actinopteri,Cypriniformes,Cyprinidae,gobio,Gobio_delyamurei,25
