Clade,Family,species,Genus,species,haploid
Angiosperms,Fabaceae,Astragalus_hoffmeisteri,Astragalus,hoffmeisteri,8
Angiosperms,Fabaceae,Astragalus_hohenackeri,Astragalus,hohenackeri,8
Angiosperms,Fabaceae,Astragalus_humistratus,Astragalus,humistratus,12
Angiosperms,Fabaceae,Astragalus_hypoglottis,Astragalus,hypoglottis,8
Angiosperms,Fabaceae,Astragalus_hypoleucus,Astragalus,hypoleucus,14
Angiosperms,Fabaceae,Astragalus_ibicinus,Astragalus,ibicinus,8
Angiosperms,Fabaceae,Astragalus_idrietorum,Astragalus,idrietorum,11
Angiosperms,Fabaceae,Astragalus_incanus,Astragalus,incanus,8
Angiosperms,Fabaceae,Astragalus_inquilinus,Astragalus,inquilinus,8
Angiosperms,Fabaceae,Astragalus_insularis,Astragalus,insularis,11
Angiosperms,Fabaceae,Astragalus_khasianus,Astragalus,khasianus,8
Angiosperms,Fabaceae,Astragalus_latifolius,Astragalus,latifolius,8
Angiosperms,Fabaceae,Astragalus_layneae,Astragalus,layneae,22
Angiosperms,Fabaceae,Astragalus_lentiginosus,Astragalus,lentiginosus,11
Angiosperms,Fabaceae,Astragalus_leptocarpus,Astragalus,leptocarpus,13
Angiosperms,Fabaceae,Astragalus_leucocephalus,Astragalus,leucocephalus,8
Angiosperms,Fabaceae,Astragalus_lonchocarpus,Astragalus,lonchocarpus,11
Angiosperms,Fabaceae,Astragalus_longidentatus,Astragalus,longidentatus,14
Angiosperms,Fabaceae,Astragalus_longissimus,Astragalus,longissimus,11
Angiosperms,Fabaceae,Astragalus_lovensis,Astragalus,lovensis,16
Angiosperms,Fabaceae,Astragalus_macrocephalus,Astragalus,macrocephalus,8
Angiosperms,Fabaceae,Astragalus_macropelmatus,Astragalus,macropelmatus,8
Angiosperms,Fabaceae,Astragalus_macropterus,Astragalus,macropterus,8
Angiosperms,Fabaceae,Astragalus_magdalenae,Astragalus,magdalenae,11
Angiosperms,Fabaceae,Astragalus_malacophyllus,Astragalus,malacophyllus,8
Angiosperms,Fabaceae,Astragalus_maymanensis,Astragalus,maymanensis,8
Angiosperms,Fabaceae,Astragalus_melanostachys,Astragalus,melanostachys,6
Angiosperms,Fabaceae,Astragalus_miser,Astragalus,miser,11
Angiosperms,Fabaceae,Astragalus_missouriensis,Astragalus,missouriensis,11
Angiosperms,Fabaceae,Astragalus_mollissimus,Astragalus,mollissimus,11
